click des,fill correct,fill incorrect,liberary related,liberary unrelated,click restart,strategy_no,strategy_yes
0.115,0.247,0.33,0.309,0,0,0,0
0.011,0,0.208,0,0.469,0,0.156,0.156
0,0,0.1,0,0,0.1,0.8,0
,,,,,,,
,,,,,,,
0.115,0.247,0.33,0.309,0,0,0,0
0.011,0,0.208,0,0.469,0,0.156,0.156
0,0,0.1,0,0,0.1,0.8,0
,,,,,,,
,,,,,,,
0.115,0.247,0.33,0.309,0,0,0,0
0.011,0,0.208,0,0.469,0,0.156,0.156
0,0,0.1,0,0,0.1,0.8,0
200_100_0.001,,,,,,,
0,0,0,0,0,0,0,0.999
0,0.167,0,0.417,0.333,0,0.083,0
0.08,0.08,0.36,0,0.08,0.04,0.36,0
