1_liberary_count,1_liberary_related_count,1_liberary_unrelated_count,1_click_des_count,1_control_variable,1_strategy_count,1_click_restart_count,1_click_determine_count,1_related_time,1_unrelated_time,1_launch_action_diff,1_first_des_time,1_score,2_liberary_count,2_liberary_related_count,2_liberary_unrelated_count,2_click_des_count,2_control_variable,2_strategy_count,2_click_restart_count,2_click_determine_count,2_related_time,2_unrelated_time,2_launch_action_diff,2_first_des_time,2_score,3_liberary_count,3_liberary_related_count,3_liberary_unrelated_count,3_click_des_count,3_control_variable,3_strategy_count,3_click_restart_count,3_click_determine_count,3_related_time,3_unrelated_time,3_launch_action_diff,3_first_des_time,3_score,4_liberary_count,4_liberary_related_count,4_liberary_unrelated_count,4_click_des_count,4_control_variable,4_strategy_count,4_click_restart_count,4_click_determine_count,4_related_time,4_unrelated_time,4_launch_action_diff,4_first_des_time,4_score,5_liberary_count,5_liberary_related_count,5_liberary_unrelated_count,5_click_des_count,5_control_variable,5_strategy_count,5_click_restart_count,5_click_determine_count,5_related_time,5_unrelated_time,5_launch_action_diff,5_first_des_time,5_score,6_liberary_count,6_liberary_related_count,6_liberary_unrelated_count,6_click_des_count,6_control_variable,6_strategy_count,6_click_restart_count,6_click_determine_count,6_related_time,6_unrelated_time,6_launch_action_diff,6_first_des_time,6_score,name
0,0,0,0,0,0,0,6,0,0,36.0,28.0,40,6,2,4,1,0,0,3,3,57.0,45.0,9.0,8.0,0,0,0,0,0,0,0,1,0,0,0,27.0,44.0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0,1,0,0,0,0,18,0,4.0,32.0,154.0,40,00110160749
3,1,2,0,0,3,4,13,12.0,28.0,46.0,3.0,40,0,0,0,0,0,0,0,0,6.0,0,0,0,0,1,0,1,0,0,0,7,0,0,3.0,115.0,4.0,80,0,0,0,0,0,3,1,21,0,0,10.0,2.0,0,0,0,0,0,0,3,1,16,0,0,17.0,2.0,60,0,0,0,0,0,0,0,0,0,0,0,0,40,00110160410
5,2,3,0,0,3,6,15,9.0,10.0,27.0,18.0,0,1,0,1,0,5,0,6,31,0,2.0,16.0,14.0,0,0,0,0,0,0,0,1,0,0,0,55.0,7.0,0,1,0,1,0,0,2,12,24,0,6.0,7.0,2.0,0,3,0,3,0,0,0,0,57,0,8.0,14.0,7.0,0,0,0,0,0,0,2,1,32,0,0,8.0,3.0,0,00110160776
0,0,0,0,0,0,0,8,0,0,13.0,8.0,40,2,1,1,0,0,0,0,8,24.0,6.0,16.0,7.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,15.0,7.0,60,2,1,1,1,0,0,0,8,9.0,11.0,59.0,24.0,40,00110160792
4,1,3,0,0,0,0,0,3.0,31.0,47.0,17.0,0,4,2,2,0,0,0,0,0,16.0,38.0,73.0,14.0,0,1,1,0,0,0,0,0,0,8.0,0,31.0,5.0,100,0,0,0,0,0,0,0,9,0,0,10.0,7.0,100,1,0,1,0,0,0,0,33,0,8.0,53.0,24.0,60,3,2,1,0,0,0,0,11,14.0,5.0,58.0,9.0,0,00110160758
1,1,0,0,0,0,0,7,11.0,0,74.0,20.0,40,7,2,5,1,11,0,0,37,12.0,15.0,51.0,3.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,17,0,10.0,116.0,23.0,60,0,0,0,0,0,0,0,8,0,0,56.0,37.0,20,00110160756
1,1,0,0,0,0,0,8,7.0,0,23.0,13.0,40,1,1,0,0,0,0,0,3,1.0,0,42.0,2.0,60,0,0,0,0,0,0,0,0,0,0,0,0,100,2,0,2,0,0,0,0,10,0,8.0,10.0,3.0,100,2,0,2,0,0,0,0,13,0,29.0,10.0,4.0,60,0,0,0,0,0,0,0,8,0,0,10.0,3.0,40,00110160747
4,4,0,0,0,0,0,6,17.0,0,50.0,17.0,40,9,3,6,0,0,0,0,12,33.0,70.0,115.0,8.0,0,4,2,2,0,0,0,0,0,11.0,13.0,35.0,15.0,100,1,0,1,2,0,2,2,14,0,4.0,15.0,4.0,0,3,0,3,0,0,0,0,17,0,25.0,54.0,9.0,60,4,3,1,1,0,0,0,15,13.0,8.0,17.0,9.0,40,00110089489
0,0,0,0,0,0,0,7,0,0,44.0,23.0,40,0,0,0,0,1,0,0,7,0,0,16.0,12.0,80,0,0,0,1,0,0,1,0,0,0,55.0,5.0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,1,0,0,1,1,10,0,4.0,26.0,13.0,30,0,0,0,0,0,0,0,6,0,0,12.0,1.0,40,00110160783
0,0,0,0,0,0,0,6,0,0,29.0,23.0,40,0,0,0,0,0,0,1,4,0,0,13.0,7.0,60,0,0,0,0,0,0,0,0,0,0,22.0,4.0,100,3,0,3,0,0,0,0,3,0,64.0,98.0,6.0,0,0,0,0,0,0,0,0,19,0,0,40.0,13.0,0,0,0,0,0,0,0,0,4,0,0,28.0,2.0,0,00110069876
