1_liberary_count,1_liberary_related_count,1_liberary_unrelated_count,1_click_des_count,1_control_variable,1_strategy_count,1_click_restart_count,1_click_determine_count,1_related_time,1_unrelated_time,1_launch_action_diff,1_first_des_time,1_score,2_liberary_count,2_liberary_related_count,2_liberary_unrelated_count,2_click_des_count,2_control_variable,2_strategy_count,2_click_restart_count,2_click_determine_count,2_related_time,2_unrelated_time,2_launch_action_diff,2_first_des_time,2_score,3_liberary_count,3_liberary_related_count,3_liberary_unrelated_count,3_click_des_count,3_control_variable,3_strategy_count,3_click_restart_count,3_click_determine_count,3_related_time,3_unrelated_time,3_launch_action_diff,3_first_des_time,3_score,4_liberary_count,4_liberary_related_count,4_liberary_unrelated_count,4_click_des_count,4_control_variable,4_strategy_count,4_click_restart_count,4_click_determine_count,4_related_time,4_unrelated_time,4_launch_action_diff,4_first_des_time,4_score,5_liberary_count,5_liberary_related_count,5_liberary_unrelated_count,5_click_des_count,5_control_variable,5_strategy_count,5_click_restart_count,5_click_determine_count,5_related_time,5_unrelated_time,5_launch_action_diff,5_first_des_time,5_score,6_liberary_count,6_liberary_related_count,6_liberary_unrelated_count,6_click_des_count,6_control_variable,6_strategy_count,6_click_restart_count,6_click_determine_count,6_related_time,6_unrelated_time,6_launch_action_diff,6_first_des_time,6_score,name
6,4,2,0,0,3,10,21,51,15,63,29,10,7,1,6,0,5,0,8,20,7,51,30,3,80,2,0,2,0,0,0,9,0,0,20,83,7,0,1,1,0,0,0,4,3,26,69,0,58,55,100,1,0,1,0,0,2,4,13,0,50,32,16,60,0,0,0,0,0,2,1,9,0,0,30,19,0,110160737
0,0,0,0,0,0,0,6,0,0,36,28,40,6,2,4,1,0,0,3,3,57,45,9,8,0,0,0,0,0,0,0,1,0,0,0,27,44,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0,1,0,0,0,0,18,0,4,32,154,40,110160749
3,1,2,0,0,3,4,13,12,28,46,3,40,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0,7,0,0,3,115,4,80,0,0,0,0,0,3,1,21,0,0,10,2,0,0,0,0,0,0,3,1,16,0,0,17,2,60,0,0,0,0,0,0,0,0,0,0,0,0,40,110160410
5,2,3,0,0,3,6,15,9,10,27,18,0,1,0,1,0,5,0,6,31,0,2,16,14,0,0,0,0,0,0,0,1,0,0,0,55,7,0,1,0,1,0,0,2,12,24,0,6,7,2,0,3,0,3,0,0,0,0,57,0,8,14,7,0,0,0,0,0,0,2,1,32,0,0,8,3,0,110160776
0,0,0,0,0,0,0,8,0,0,13,8,40,2,1,1,0,0,0,0,8,24,6,16,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,15,7,60,2,1,1,1,0,0,0,8,9,11,59,24,40,110160792
4,1,3,0,0,0,0,0,3,31,47,17,0,4,2,2,0,0,0,0,0,16,38,73,14,0,1,1,0,0,0,0,0,0,8,0,31,5,100,0,0,0,0,0,0,0,9,0,0,10,7,100,1,0,1,0,0,0,0,33,0,8,53,24,60,3,2,1,0,0,0,0,11,14,5,58,9,0,110160758
1,1,0,0,0,0,0,7,11,0,74,20,40,7,2,5,1,11,0,0,37,12,15,51,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,17,0,10,116,23,60,0,0,0,0,0,0,0,8,0,0,56,37,20,110160756
1,1,0,0,0,0,0,8,7,0,23,13,40,1,1,0,0,0,0,0,3,1,0,42,2,60,0,0,0,0,0,0,0,0,0,0,0,0,100,2,0,2,0,0,0,0,10,0,8,10,3,100,2,0,2,0,0,0,0,13,0,29,10,4,60,0,0,0,0,0,0,0,8,0,0,10,3,40,110160747
0,0,0,0,0,0,0,8,0,0,41,27,40,0,0,0,0,0,0,0,12,0,0,25,16,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,30,20,60,0,0,0,0,0,0,0,2,0,0,21,2,40,110160824
4,4,0,0,0,0,0,6,17,0,50,17,40,9,3,6,0,0,0,0,12,33,70,115,8,0,4,2,2,0,0,0,0,0,11,13,35,15,100,1,0,1,2,0,2,2,14,0,4,15,4,0,3,0,3,0,0,0,0,17,0,25,54,9,60,4,3,1,1,0,0,0,15,13,8,17,9,40,110089489
