,sum_score,click_des_count,liberary_related_count,liberary_unrelated_count,strategy_count,click_restart_count,click_determine_count,related_time,unrelated_time,launch_action_diff,first_des_time,related_time_rate,related_count_rate,strage_rate
0,47.5,0,5,9,12,22,63,58,116,155,67,0.3333333333333333,0.35714285714285715,0.19047619047619047
1,60.0,1,2,5,0,3,27,57,49,77,190,0.5377358490566038,0.2857142857142857,0.0
2,60.0,0,1,2,6,5,29,18,28,63,5,0.391304347826087,0.3333333333333333,0.20689655172413793
3,0.0,0,2,7,10,12,135,9,20,65,42,0.3103448275862069,0.2222222222222222,0.07407407407407407
4,85.0,1,2,2,0,1,56,33,17,103,46,0.66,0.5,0.0
5,25.0,0,5,7,0,0,44,33,82,231,64,0.28695652173913044,0.4166666666666667,0.0
6,72.5,2,3,8,11,0,69,23,25,297,83,0.4791666666666667,0.2727272727272727,0.15942028985507245
7,75.0,0,2,2,0,0,32,8,29,85,22,0.21621621621621623,0.5,0.0
8,85.0,0,0,0,0,0,30,0,0,117,65,0.0,0.0,0.0
9,60.0,1,10,10,0,1,50,63,103,236,43,0.3795180722891566,0.5,0.0
10,67.5,0,0,1,2,1,30,0,4,98,49,0.0,0.0,0.06666666666666667
11,25.0,0,0,0,0,1,33,0,0,110,45,0.0,0.0,0.0
12,85.0,0,0,1,14,4,68,0,54,223,59,0.0,0.0,0.20588235294117646
13,85.0,0,6,9,16,7,85,36,31,103,30,0.5373134328358209,0.4,0.18823529411764706
14,35.0,0,0,0,3,2,30,0,0,50,20,0.0,0.0,0.1
15,72.5,0,3,7,6,0,56,41,105,158,91,0.2808219178082192,0.3,0.10714285714285714
16,12.5,2,1,4,14,7,108,3,38,107,41,0.07317073170731707,0.2,0.12962962962962962
17,37.5,0,2,2,0,4,55,35,7,91,26,0.8333333333333334,0.5,0.0
18,47.5,4,2,4,6,4,73,13,31,45,156,0.29545454545454547,0.3333333333333333,0.0821917808219178
19,52.5,1,0,1,0,0,21,0,9,91,43,0.0,0.0,0.0
20,60.0,0,0,1,3,2,34,0,3,68,28,0.0,0.0,0.08823529411764706
21,25.0,2,1,6,0,3,55,11,15,177,247,0.4230769230769231,0.14285714285714285,0.0
22,50.0,0,1,1,6,6,41,4,7,134,10,0.36363636363636365,0.5,0.14634146341463414
23,55.0,2,2,6,10,5,60,11,22,92,45,0.3333333333333333,0.25,0.16666666666666666
24,60.0,0,2,4,0,0,34,9,12,76,15,0.42857142857142855,0.3333333333333333,0.0
25,80.0,3,2,0,0,1,43,36,0,100,60,1.0,1.0,0.0
26,50.0,2,4,4,10,12,86,45,43,261,62,0.5113636363636364,0.5,0.11627906976744186
27,67.5,0,1,2,0,0,31,0,16,153,49,0.0,0.3333333333333333,0.0
28,60.0,2,2,1,9,0,64,23,15,130,62,0.6052631578947368,0.6666666666666666,0.140625
29,62.5,2,4,3,2,2,35,41,21,71,40,0.6612903225806451,0.5714285714285714,0.05714285714285714
30,87.5,0,5,4,13,1,78,40,28,58,41,0.5882352941176471,0.5555555555555556,0.16666666666666666
31,35.0,0,3,6,7,6,66,67,45,184,27,0.5982142857142857,0.3333333333333333,0.10606060606060606
32,85.0,2,0,1,3,2,43,0,9,81,22,0.0,0.0,0.06976744186046512
33,85.0,1,0,3,10,7,75,0,20,171,347,0.0,0.0,0.13333333333333333
34,85.0,2,6,8,0,0,52,52,43,269,72,0.5473684210526316,0.42857142857142855,0.0
35,92.5,0,2,3,5,4,55,16,31,114,11,0.3404255319148936,0.4,0.09090909090909091
36,72.5,3,5,6,1,1,28,39,59,109,54,0.3979591836734694,0.45454545454545453,0.03571428571428571
37,85.0,1,0,0,4,6,34,0,0,71,29,0.0,0.0,0.11764705882352941
38,80.0,0,4,6,1,0,49,24,21,179,33,0.5333333333333333,0.4,0.02040816326530612
39,85.0,0,0,0,0,1,41,0,0,131,60,0.0,0.0,0.0
40,37.5,0,2,10,1,5,80,12,106,240,50,0.1016949152542373,0.16666666666666666,0.0125
41,80.0,2,4,1,12,5,116,30,1,221,81,0.967741935483871,0.8,0.10344827586206896
42,50.0,2,0,2,0,1,19,0,45,258,22,0.0,0.0,0.0
43,57.5,0,3,2,0,3,21,14,13,130,42,0.5185185185185185,0.6,0.0
44,72.5,0,6,7,4,7,56,30,80,184,62,0.2727272727272727,0.46153846153846156,0.07142857142857142
45,50.0,3,0,0,5,1,61,0,0,102,61,0.0,0.0,0.08196721311475409
46,80.0,0,0,0,2,0,22,0,0,109,63,0.0,0.0,0.09090909090909091
47,60.0,3,3,6,7,3,69,18,49,137,73,0.26865671641791045,0.3333333333333333,0.10144927536231885
48,50.0,1,4,5,4,1,63,32,35,94,38,0.47761194029850745,0.4444444444444444,0.06349206349206349
49,45.0,0,1,3,9,6,54,2,42,91,22,0.045454545454545456,0.25,0.16666666666666666
50,72.5,2,9,5,9,4,97,88,28,82,44,0.7586206896551724,0.6428571428571429,0.09278350515463918
51,60.0,1,6,4,1,1,39,30,13,220,98,0.6976744186046512,0.6,0.02564102564102564
52,60.0,0,3,2,0,0,26,24,2,178,51,0.9230769230769231,0.6,0.0
53,70.0,0,3,5,7,0,76,27,46,178,43,0.3698630136986301,0.375,0.09210526315789473
54,85.0,3,0,2,0,5,44,0,11,56,32,0.0,0.0,0.0
55,27.5,3,2,4,4,5,45,19,32,118,36,0.37254901960784315,0.3333333333333333,0.08888888888888889
56,80.0,0,2,1,12,2,146,19,9,90,66,0.6785714285714286,0.6666666666666666,0.0821917808219178
57,47.5,1,4,9,14,5,118,27,59,178,125,0.313953488372093,0.3076923076923077,0.11864406779661017
58,85.0,0,0,1,3,0,44,0,6,75,24,0.0,0.0,0.06818181818181818
59,47.5,1,2,5,3,23,61,14,37,99,36,0.27450980392156865,0.2857142857142857,0.04918032786885246
60,10.0,0,1,1,10,5,94,14,8,80,50,0.6363636363636364,0.5,0.10638297872340426
61,85.0,0,2,7,9,3,48,9,64,102,27,0.1232876712328767,0.2222222222222222,0.1875
62,95.0,0,4,6,2,3,61,27,42,121,61,0.391304347826087,0.4,0.03278688524590164
63,37.5,0,1,1,1,0,29,13,4,134,34,0.7647058823529411,0.5,0.034482758620689655
